ensembl_id,PC3_Normoxia_S1,LNCAP_Hypoxia_S1,LNCAP_Hypoxia_S2,LNCAP_Normoxia_S2,PC3_Hypoxia_S1,PC3_Hypoxia_S2,PC3_Normoxia_S2,LNCAP_Normoxia_S1
ENSG00000011304,886,6804,8152,9212,2919,985,2519,7881
ENSG00000011332,25,257,252,279,54,23,84,225
ENSG00000011347,36,4060,4054,3807,114,45,149,2871
ENSG00000011376,364,2232,2568,4198,677,226,979,3353
ENSG00000011405,683,6079,6677,4410,2127,583,1849,4569
ENSG00000011422,683,69,82,50,2262,978,1725,34
ENSG00000011426,3480,4580,5384,6092,10843,3446,10130,6348
ENSG00000011451,285,5184,5728,3427,675,244,699,2436
ENSG00000011454,150,5536,6366,6093,423,129,414,5522
ENSG00000011465,0,2,0,0,0,0,0,0
ENSG00000011478,71,122,135,176,133,53,173,107
ENSG00000011485,325,1638,1838,2392,567,207,828,1920
ENSG00000011523,212,562,556,865,359,157,618,746
ENSG00000011566,232,1512,1606,1278,851,275,754,1251
ENSG00000011590,0,0,4,4,2,0,0,1
ENSG00000011600,0,0,0,0,0,0,0,0
ENSG00000011638,88,584,651,530,229,77,210,442
ENSG00000011677,63,179,219,236,257,73,180,177
ENSG00000012048,314,2062,2475,3554,645,262,865,3466
ENSG00000012061,454,773,882,1204,1144,462,1084,893
ENSG00000012124,2,12,19,3,0,0,0,7
ENSG00000012171,96,566,628,609,357,141,279,299
ENSG00000012174,1322,1984,2401,2396,3067,1190,3558,2374
ENSG00000012211,69,716,880,913,142,47,166,607
ENSG00000012223,0,20,28,265,0,0,0,112
ENSG00000012232,572,1237,1425,1177,1455,505,1560,884
ENSG00000012504,0,2,4,1,0,0,0,0
ENSG00000012660,2867,165549,204624,97048,6772,2290,7257,87450
ENSG00000012779,19,16,13,11,61,23,35,6
ENSG00000012817,0,1972,2376,2547,0,0,0,2121
ENSG00000012822,250,3129,3104,1950,1154,392,823,1689
ENSG00000012963,201,1819,2062,2220,533,164,537,1906
ENSG00000012983,1039,3603,3924,2403,4254,1384,2893,2363
ENSG00000013016,160,580,705,1217,301,87,359,736
ENSG00000013275,572,3500,4029,4447,1585,534,1560,3215
ENSG00000013288,48,1899,2269,2256,153,49,149,1906
ENSG00000013293,0,0,0,0,0,1,0,0
ENSG00000013297,126,9,11,4,237,108,396,7
ENSG00000013306,2504,3106,3586,5601,4826,1771,6206,3136
ENSG00000013364,203,225,259,479,477,170,555,299
ENSG00000013374,432,3580,4084,5483,1020,335,1217,4736
ENSG00000013375,563,2225,2847,3181,2090,724,1619,3096
ENSG00000013392,27,1662,2214,2224,101,35,86,1964
ENSG00000013441,526,11518,11673,5060,2600,814,1195,4669
ENSG00000013503,339,1371,1806,2838,715,226,909,2671
ENSG00000013523,97,1275,1401,1560,130,57,269,1173
ENSG00000013561,237,2466,2851,3028,641,212,677,2428
ENSG00000013563,77,888,961,932,141,64,169,586
ENSG00000013573,125,1027,1103,1012,246,83,303,861
ENSG00000013583,165,1352,1688,2180,394,126,404,2153
ENSG00000013588,2112,3,3,5,12005,4229,5746,7
ENSG00000013619,69,111,88,67,194,72,216,58
ENSG00000013725,6,0,0,0,13,6,16,0
ENSG00000013810,364,4004,4679,4479,698,207,826,3755
ENSG00000014123,334,3423,3737,5129,729,291,929,4907
ENSG00000014138,65,96,122,171,123,50,162,124
ENSG00000014164,96,243,298,337,247,111,312,212
ENSG00000014216,986,4275,4950,4458,3680,1301,2619,3119
ENSG00000014257,20,323,410,1397,61,29,37,1230
ENSG00000014641,632,2587,3094,3643,1813,658,1661,2982
ENSG00000014824,530,9391,10186,12576,2107,735,1421,10496
ENSG00000014914,237,213,295,185,850,368,598,181
ENSG00000014919,141,696,941,1231,484,194,423,1000
ENSG00000015133,35,4755,5335,3940,87,36,135,3196
ENSG00000015153,141,655,731,598,420,116,399,608
ENSG00000015171,566,5934,6917,6895,1523,494,1624,6553
ENSG00000015285,1,102,74,97,4,2,8,66
ENSG00000015413,0,2,0,0,0,0,0,0
ENSG00000015475,143,287,266,420,392,120,338,276
ENSG00000015479,31,284,246,254,78,14,99,248
ENSG00000015520,0,52,41,47,0,2,2,34
ENSG00000015532,422,828,924,1234,747,295,1116,843
ENSG00000015568,0,1,0,0,0,0,0,0
ENSG00000015592,0,67,71,152,0,0,0,20
ENSG00000015676,414,1882,2140,3281,737,294,1070,2127
ENSG00000016082,4,6,9,24,8,2,23,29
ENSG00000016391,45,1633,1867,1648,47,20,111,1364
ENSG00000016402,28,21,16,33,52,17,79,15
ENSG00000016490,0,0,0,0,0,0,0,0
ENSG00000016602,0,0,0,0,0,1,0,0
ENSG00000016864,369,1514,1660,2027,802,336,864,1449
ENSG00000017260,1015,6347,7432,6219,3099,1054,2703,5786
ENSG00000017427,0,708,729,204,3,1,0,186
ENSG00000017483,1,9,6,6,27,12,8,15
ENSG00000017797,97,3882,4613,4087,244,82,319,3290
ENSG00000018189,76,779,898,1112,142,44,246,1011
ENSG00000018236,264,0,0,0,882,314,774,0
ENSG00000018280,0,33,23,78,6,2,0,32
ENSG00000018408,891,136,190,200,2692,849,2755,180
ENSG00000018510,863,1851,2078,1654,2495,767,2368,1735
ENSG00000018607,0,0,1,0,0,0,0,0
ENSG00000018610,92,648,725,1077,137,55,217,836
ENSG00000018625,10,31,22,5,22,15,22,7
ENSG00000018699,380,419,566,1100,703,247,980,957
